,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,PROJECT INFORMATION,,,
,OWNER:,Lenny Taub,,
,ADDRESS:,2205 Washington,,
,DESCRIPTION:,94 Unit Condos,,
,ESTIMATOR:,Douglas Kopel,,
,ARCHITECT:,Stantec,,
,DESIGNER:,Denver Design Build,,
,DATE:,08/20/2019,,
,,,,
,DIRECT COST,,,
,CSI DIVISION,,COST,% of Cost
,01 - General Requirements,,2993480,10.2280693916464%
,02 - Site Construction,,667555.5025,2.28089180563937%
,03 - Concrete,,10888151.9,37.2024443724315%
,04 - Masonry,,0,0%
,05 - Metals,,762250,2.60444228582868%
,06 - Wood & Plastics,,249050,0.850949624513785%
,07 - Thermal & Moisture Protection,,1076085.1,3.67674849142694%
,08 - Doors & Windows,,533321.04,1.82224187405461%
,09 - Finishes,,4652992.56182353,15.8982624908619%
,10 - Specialties,,197504.61,0.674830249826306%
,11 - Equipment,,329000,1.12412136705495%
,12 - Furnishings,,0,0%
,13 - Specialty Construction,,1071605.2,3.6614416485325%
,14 - Conveying Systems,,441700,1.50919272896101%
,15 - Mechanical,,3132247.5,10.7022077253935%
,16 - Electrical,,2272359,7.76415594382863%
,DIRECT COST - SUMMARY,,29267302.4143235,100%
,,,,
,CONTRACTING REQUIREMENTS,,,
,CSI DIVISION,,COST,NOTES
,Column1,Column2,Column3,Column4
,00-100 | Permit & Plan Review Fees,,0,By Owner
,00-100 | Use Tax,,0,Excluded
,00-100 | Tap Fees ,,0,Excluded
,00-100 | Xcel Fees,,0,By Owner
,00-150 | General Liability Insurance - Professional (OCIP) Required,,0,By Owner
,00-150 | General Liability Insurance - Construction (OCIP) Required,,0,By Owner
,00-150 | Builders Risk Insurance,,0,By Owner
,00-200 | Legel Fees - DDB,,0,Included
,00-300 | Project Design Construction Contingency,,585346.048286471,2%
,00-300 | Project  Construction Contingency,,878019.072429706,3%
,00-400 | Contractor Overhead,,585346.048286471,2%
,00-400 | Contractor Fee,,585346.048286471,2%
,00-500 | Marketing,,0,N/A
,,,,
,,,,
,CONTRACTING REQUIREMENTS - SUBTOTAL,,2634057.21728912,
,,,,
,TOTAL - PROJECT,,31901359.6316126,
,,,,
,PLEASE NOTE,,,
,1. This estimate is good for 30 days,,,
,,,,
,"2. If a construction contingency is not included in this estimate, it is recommended to include one.",,,
